group,ref,item,example_part,qty,unit_usd,notes
core,A1,"Модуль Colorlight i9 v7.2 (LFE5U-45F) + плата расширения (DAPLink USB JTAG/UART, 6 сдвоенных PMOD)","AliExpress, лот «i9 + ext board»",1,60,"Проверить, что в лоте есть плата расширения"
core,A6,ESP32-S3 DevKitC-1 (Wi‑Fi-пульт),Espressif ESP32-S3-DevKitC-1 или клон,1,10,UART к ПЛИС
core,A7,USB-UART адаптер 3.3 В (запасной канал отладки),CP2102 / CH340,1,3,если UART DAPLink не выведен на ПЛИС
element,A2,Усилитель класса D с входом I2S,MAX98357A breakout (Adafruit 3006 или аналог),18,6,16 + 2 запасных
element,A3,Микроплата микрофона 8x8 мм с ICS-43434 (собранная JLCPCB),ICS-43434 (LCSC C5656610) + 100 нФ; PCB 8x8x0.8,20,5.5,16 + калибровочный + 3 запасных; см. schematics.md
element,LS1,Динамик 32 мм 8 Ом 2 Вт,Dayton Audio CE32A-8 (премиум: Visaton BF 32 S 8 Ом ~15 $),18,5,Одна партия! 8 Ом: MAX98357A не перегрузит даже на полной шкале
element,PCB-E,Плата модуля элемента (2 слоя 36x80 мм),JLCPCB/PCBWay,18,1.2,Партия 20 шт
element,KIT-E,Компоненты модуля (разъёмы LDO буферы конденсаторы),см. schematics.md,18,2.5,
element,SMT,"Подготовка SMT-монтажа JLCPCB (доп. компоненты, трафарет)",,1,25,разово
element,MECH-E,Печать держателей и крышек (PETG ~0.3 кг) + закладные M3 и винты M3x8 (по 40),hardware/mech/stl,1,25,при наличии принтера
element,W-MIC,"Провод 30 AWG для микрофонов, поролон 1 мм",,1,8,
hub,PCB-H,Распределительная плата (2 слоя ~100x160 мм),JLCPCB/PCBWay,1,15,Партия 5 шт
hub,KIT-H,Компоненты распределительной платы,8x74LVC244 16x IDC 2x5 защита питания,1,30,
hub,A4,ЦАП I2S для наушников,PCM5102A модуль,1,5,
hub,A5,Усилитель для наушников с регулятором громкости,модуль TPA6132/NJM4556 или аналог,1,8,Два гнезда 3.5 мм — на двух посетителей
hub,HP1,Наушники закрытые,любые 32 Ом,1,25,
power,PS1,Блок питания 5 В 6 А закрытый настольный,Mean Well GST60A05-P1J,1,20,
power,PS2,Зарядник USB 5 В 2 А для платы ПЛИС и ESP32,"любой, 2 порта",1,8,
cable,W1,Шлейф 10 жил + разъёмы IDC 2x5,0.5 м x 16 шт,1,15,
cable,W2,Шлейфы от PMOD платы расширения к распределительной плате,"IDC 2x6 / 2x8, 6 шт",1,8,
probe,PCB-P,Плата калибровочного зонда + RJ45 + кабель CAT5 3 м,,1,10,
mech,MECH,Панель (фанера/акрил лазерной резки) стойка поролон ткань крепёж,,1,80,
misc,CONS,Расходники (припой провод термоусадка),,1,20,
